Unnamed: 0.1,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,id,mode,popularity,Artist_Track
12,12,0.518,0.0983,129.87,0.0699,0.00569,0.772,4.0,0.715,5,346773,-11.0,0.923,59pEmMso7bA8Ghp6yIhbEA,0,20,Miss Kittin & The Hacker: Stock Exchange
13,13,0.312,0.185,106.004,0.0253,0.0709,3.07e-05,4.0,0.527,2,253080,-10.711,0.0883,1R5Y01vTKH96Y7XMmmcF9q,1,42,Fleet Foxes: Drops In The River
14,14,0.0636,0.116,146.878,0.0373,0.936,1.13e-05,4.0,0.376,7,134320,-20.418,0.145,2nTitfujvMmOLqoMMG2YPn,1,41,Fleet Foxes: Sun Giant
15,15,0.0631,0.0801,118.44,0.0413,0.946,0.0,4.0,0.48,0,203880,-11.913,0.155,1gSWmUWt0Flr52cQoH0yDJ,1,51,Fleet Foxes: Oliver James
16,16,0.679,0.15,109.877,0.0254,0.0322,0.377,4.0,0.571,11,212253,-6.207,0.542,1EgtfN5sES21dY7pRQRauz,1,45,Fleet Foxes: Quiet Houses
17,17,0.658,0.0602,104.21,0.0292,0.0995,0.0102,4.0,0.362,4,307213,-5.929,0.151,5gXF3XyUkM9BVA8QW7uYUg,1,54,Fleet Foxes: Ragged Wood
18,18,0.534,0.328,124.964,0.0267,0.437,3.33e-06,4.0,0.629,6,147027,-9.054,0.66,1Er5JMNcguoBMFXxwZ7BWH,0,63,Fleet Foxes: White Winter Hymnal
19,19,0.285,0.163,112.025,0.0319,0.576,0.0649,3.0,0.577,7,191493,-8.442,0.0664,7ejNRmaEYpXVbdWEulQbb4,1,46,Fleet Foxes: Sun It Rises
20,20,0.0193,0.209,91.879,0.0377,0.943,4.71e-06,3.0,0.516,2,187453,-14.564,0.148,1zmRnLRRoD74zUANrcqkFd,1,40,Fleet Foxes: Innocent Son
21,21,0.433,0.157,153.824,0.0432,0.0157,0.661,4.0,0.256,5,337613,-11.463,0.167,4T8SC0prIVx9UMyeHdWpIP,1,16,4Hero: Conceptions
22,22,0.669,0.0744,120.088,0.0707,0.00084,0.903,4.0,0.791,6,340265,-8.199,0.509,4B0ykOcT0PRjeVZDMPFsLB,0,2,4Hero: Eight
23,23,0.919,0.0883,126.998,0.055,0.00977,0.873,4.0,0.795,6,676436,-10.199,0.512,0M4g0PzfU5kggiicFuSo1G,0,1,Minilogue: Animals
24,24,0.215,0.121,104.133,0.0308,0.805,0.000431,4.0,0.406,0,247227,-11.233,0.138,60B1U23Bu7gzUkNrWLbOYR,0,20,Björk: I See Who You Are
25,25,0.527,0.124,129.991,0.0776,0.798,1.39e-05,3.0,0.528,2,450200,-10.152,0.189,1H7crXEqWz1JEEpyayxmYs,0,23,Björk: The Dull Flame Of Desire
26,26,0.837,0.105,130.012,0.078,0.537,2.76e-05,4.0,0.364,1,351013,-7.303,0.163,2BB0qX3DyOfBZqq0dQSsoO,1,22,Björk: Wanderlust
27,27,0.697,0.0721,146.161,0.057,0.405,0.000155,4.0,0.321,1,305667,-6.266,0.251,20ZvzoDSefcZo6bj10jgGC,0,41,Björk: Jóga
28,28,0.677,0.0876,127.981,0.033,0.00339,0.876,3.0,0.728,10,698080,-10.023,0.342,3wt7CBpJS7FQLM1Y1NJF5P,0,13,Richie Hawtin: The Tunnel
29,29,0.833,0.0741,165.635,0.0481,0.105,0.00419,4.0,0.461,11,248893,-6.082,0.818,15ea10YpJIl3mJq75yzqsD,0,57,Radiohead: Jigsaw Falling Into Place
30,30,0.452,0.0771,123.005,0.133,0.144,0.89,4.0,0.833,1,504093,-14.944,0.258,48WZIyWSfnRzAK2AQAzKwV,1,4,Minilogue: Hitchhiker'S Choice
31,31,0.252,0.0942,121.262,0.0588,0.804,0.0287,4.0,0.651,5,403200,-16.168,0.431,7dMWiyYYkxNC0mz90Ni9L3,0,39,Lou Donaldson: Blues Walk
32,32,0.614,0.082,102.965,0.303,0.00361,0.841,5.0,0.56,10,278800,-4.724,0.27,1YN7qQxrpvfmseWZIi67KG,0,12,Clark: Distant Father Torch
33,33,0.504,0.182,87.149,0.0499,0.95,0.97,5.0,0.12,5,208573,-15.854,0.0896,7uGlrtKETrlPDQVE56iFwb,0,3,Clark: Farewell Mining Town
34,34,0.72,0.115,115.264,0.0343,0.0522,0.0483,4.0,0.433,7,377613,-7.611,0.316,0oGpZAN8lNIGVEjTqcbloW,1,21,The Verve: Judas
35,35,0.865,0.385,123.06,0.0411,0.000472,0.0,4.0,0.426,7,327960,-4.153,0.309,6ypCu5xx6kJp2hnQ8zncqQ,1,28,The Verve: Love Is Noise
36,36,0.52,0.104,126.004,0.0699,0.0691,0.733,4.0,0.802,11,399613,-14.01,0.196,37vhMFDAXgyDV971QuJLZB,0,0,Masomenos: One
37,37,0.755,0.0997,129.92,0.0269,0.0013,1.13e-05,4.0,0.51,0,213840,-5.451,0.258,5wG6MWbrERrccBEZjqbVxj,0,20,Uh Huh Her: Not A Love Song
38,38,0.687,0.0725,122.043,0.0283,0.146,2.74e-05,4.0,0.581,6,241680,-5.792,0.302,0YlL1Vl8j1g4dy5rEzDoM9,0,21,Uh Huh Her: Common Reaction
39,39,0.503,0.386,104.14,0.0362,0.0049,0.891,4.0,0.561,2,364533,-11.123,0.0359,6pxWghcPKRSjZPj8Ba9vpB,1,43,Boards Of Canada: Satellite Anthem Icarus
40,40,0.14,0.105,75.551,0.0486,0.993,0.933,4.0,0.337,0,44280,-23.581,0.112,15wtj7oUNjMlov6hYWTX10,1,35,Boards Of Canada: Into The Rainbow Vein
41,41,0.657,0.513,180.218,0.0936,0.461,0.571,5.0,0.225,5,263187,-8.104,0.0668,5m2yhxkS3X7TVRKmBRVYxf,0,32,Clark: Herzog
42,42,0.779,0.108,137.033,0.0363,0.165,0.921,1.0,0.541,11,395707,-11.082,0.317,1g7bl2LDCom7jtX2EmHRSF,0,31,The Cinematic Orchestra: Flite
43,43,0.91,0.722,96.906,0.0528,4.08e-05,2.19e-05,4.0,0.291,6,412053,-5.059,0.347,27l5ltHUYplxOZiZZqHEK7,0,19,The Verve: Sit And Wonder
44,44,0.576,0.0813,95.016,0.0501,0.245,0.687,4.0,0.729,5,154347,-4.336,0.71,2yaEiJQIETbU2PdeWgPdEq,0,21,Prefuse 73: The Color Of Tempo
45,45,0.554,0.0814,142.893,0.0395,0.119,0.00757,4.0,0.269,11,453840,-8.089,0.204,4HiicaYdlfP0gJFc4TonMA,0,29,The Verve: Appalachian Springs
46,46,0.768,0.0815,147.732,0.0346,8.83e-05,0.00253,4.0,0.344,9,274427,-6.122,0.228,7yFyC3zF8EsDrHkuCQYnnK,1,19,The Verve: Valium Skies
47,47,0.293,0.0907,60.193,0.0496,0.804,0.0,4.0,0.365,9,260987,-11.277,0.182,2GZPJqAMi1v6np8rIENWqd,1,28,Yael Naim: Far Far
48,48,0.371,0.106,100.001,0.0326,0.733,3.73e-05,4.0,0.769,0,225107,-8.522,0.635,6obMmMuVhvB0VMTZa5EJIP,1,58,Yael Naim: New Soul
49,49,0.361,0.0966,79.987,0.034,0.868,0.000195,4.0,0.646,1,282987,-10.373,0.535,0mQTjvow6MezO822yaOmrV,0,19,Yael Naim: Too Long
50,50,0.946,0.0748,100.899,0.0377,0.0828,0.927,4.0,0.621,7,464373,-7.137,0.597,5k81OvdlpHVMNXN3rdLOrF,1,1,Ian O'Brien: As (Part 1: Perspicacity)
51,51,0.648,0.112,87.971,0.0525,0.0635,0.0,4.0,0.624,8,136093,-6.557,0.483,5jHWYX0vFoCTo9Vfi2oL5Y,0,15,Hudson Mohawke: Velvet Peel
52,52,0.619,0.109,138.017,0.0289,0.0941,3.31e-06,4.0,0.485,5,242373,-7.115,0.424,1mea3bSkSGXuIRvnydlB5b,0,75,Coldplay: Viva La Vida
53,53,0.295,0.164,129.925,0.0312,0.695,0.738,4.0,0.218,8,378853,-10.61,0.0792,0guzngk1qWk5sgdYbThEGI,1,50,Coldplay: Death And All His Friends
54,54,0.663,0.191,173.139,0.0456,0.00722,0.791,4.0,0.38,1,249667,-10.476,0.433,2dphvmoLEXdk8hOYxmHlI3,1,54,Coldplay: Strawberry Swing
55,55,0.862,0.0692,69.996,0.388,0.0443,0.00179,4.0,0.338,3,349640,-10.186,0.597,5oUrv3lKZSk8Ws2gkef7aA,0,2,Ken Ishii: Pause In Herbs
56,56,0.732,0.672,86.341,0.699,0.0477,0.000579,4.0,0.555,11,133987,-8.212,0.439,17ZGRQr1B2T4vLWTCNpmQa,0,11,Madlib: Lifetime (Lifeline)
57,57,0.69,0.0492,126.936,0.0387,0.00888,0.0048,4.0,0.784,8,238373,-3.841,0.607,0YEZrXCCmuU0IPe0AFiJTs,1,24,Tiga: You Gonna Want Me
58,58,0.844,0.163,127.951,0.126,0.00124,0.00497,4.0,0.595,8,558560,-5.97,0.53,5B2rAyXW6M1r8Kqn8C61ad,1,14,Röyksopp: 49 Percent (Angello And Ingrosso Remix)
59,59,0.794,0.0974,116.969,0.0537,0.0177,0.802,4.0,0.776,1,284955,-8.489,0.211,6mhbWLLNsTP7KdTt32wYq8,0,16,Röyksopp: Boys
60,60,0.121,0.0916,149.148,0.0379,0.799,0.954,5.0,0.123,6,163307,-19.728,0.119,3TMAsvfenk6r4pjLqzvAfJ,0,23,The Cinematic Orchestra: Prelude
61,61,0.128,0.105,148.499,0.034,0.885,0.352,4.0,0.264,9,370667,-15.443,0.0763,3AqPL1n1wKc5DVFFnYuJhp,1,61,The Cinematic Orchestra: To Build A Home
62,62,0.178,0.133,125.966,0.0365,0.324,0.139,4.0,0.472,11,276093,-13.836,0.0758,4KbNjU82q7fX494OGIPg3Z,0,30,The Cinematic Orchestra: Familiar Ground
63,63,0.912,0.124,109.992,0.0497,0.0114,0.792,4.0,0.655,7,329073,-9.636,0.133,7h7e3qGwgbW8wsxQb0NsWJ,0,24,Röyksopp: Beautiful Day Without You
64,64,0.922,0.106,121.308,0.0316,0.0491,0.911,4.0,0.653,5,231642,-7.136,0.967,5gDpvoF9WdEHtpOmmCs3qH,0,20,Röyksopp: Follow My Ruin
65,65,0.775,0.506,122.506,0.114,0.0126,0.835,4.0,0.792,6,292107,-7.409,0.383,25yri2t7BFyHwjqHl25Qn5,0,19,Röyksopp: Sombre Detune
66,66,0.943,0.209,122.976,0.0391,0.000162,0.0158,4.0,0.505,0,235636,-6.232,0.571,4lJa2Zgl6QZsjn4R1hWK9B,0,29,Röyksopp: Only This Moment
67,67,0.633,0.107,169.989,0.0297,0.0238,0.91,3.0,0.453,9,260667,-7.009,0.357,3lFZzjjv3OYsJGx3AaNT2d,0,25,Röyksopp: Triumphant
68,68,0.784,0.291,150.975,0.137,0.598,6.93e-05,4.0,0.699,1,305867,-8.246,0.879,7BSzuzQSk6AGlKtzlYJJ7v,1,6,Herbert: Birds Of A Feather
69,69,0.835,0.0676,119.953,0.0381,0.435,0.139,4.0,0.858,3,339333,-7.214,0.895,2CTIvE68OAZSvsgFXrx6lI,1,8,Herbert: Harmonise
70,70,0.765,0.109,123.97,0.083,0.518,0.0101,4.0,0.867,10,352987,-6.809,0.813,1HnBH5hQJpFAjMG8qQghQ7,0,9,Herbert: Moving Like A Train
71,71,0.672,0.104,118.995,0.068,0.353,0.0129,4.0,0.908,5,255133,-8.704,0.787,7Jv263AmrhfAcJUk18oLw2,0,9,Herbert: The Movers And The Shakers
72,72,0.343,0.0802,158.878,0.0337,0.509,0.986,4.0,0.212,6,319553,-11.749,0.148,2O2OWqET6S7dzrlRRfUegW,1,19,Röyksopp: Dead To The World
73,73,0.818,0.0991,210.907,0.195,0.0153,0.782,4.0,0.495,9,321921,-5.958,0.493,2ARdseXbSKUhHFsYyXdAGZ,1,22,Röyksopp: Someone Like Me
74,74,0.634,0.0573,134.826,0.0294,0.0356,0.896,4.0,0.256,6,490777,-7.254,0.13,7DWD0wfm8sfKMYsv44cDRa,0,22,Röyksopp: Alpha Male
75,75,0.925,0.0904,132.976,0.0548,0.000156,0.677,4.0,0.637,10,324661,-6.84,0.716,1sj0tCwc2vH6AwCSADtn7c,0,25,Röyksopp: Circuit Breaker
76,76,0.927,0.325,114.994,0.0436,0.185,0.108,4.0,0.704,9,317092,-7.157,0.344,238vPTkV2cKupWDnAietb6,1,41,Röyksopp: What Else Is There?
77,77,0.505,0.145,129.994,0.0586,0.554,0.8,4.0,0.829,0,293027,-11.31,0.587,0zwKbDTi15FqxSgzzndT45,1,18,Milosh: You Fill Me
78,78,0.258,0.326,192.062,0.189,0.181,0.924,3.0,0.72,8,51400,-15.034,0.73,5Mlqo5XtiCD2ylhCl48qpN,1,8,Plaid: Tak 5
79,79,0.273,0.072,97.366,0.0812,0.716,0.787,4.0,0.48,11,230000,-14.548,0.217,09lgmiJzBtK7Kw5VkmSQZP,0,11,Plaid: Light Rain
80,80,0.888,0.155,120.962,0.0594,0.0011,0.00122,4.0,0.581,7,199293,-6.618,0.393,2SRhABKMz7duB9XiPi4SDd,1,29,Moby: Lift Me Up
81,81,0.653,0.276,107.988,0.0328,0.046,0.0513,4.0,0.681,3,253760,-7.891,0.663,5MIOomJuCJkfuf6mrHJu9H,0,58,Moby: Natural Blues
82,82,0.877,0.083,101.99,0.0462,0.462,0.00943,4.0,0.697,3,173631,-4.465,0.798,4iEOVEULZRvmzYSZY2ViKN,1,63,Jimpster: Left & Right [Ron Basejam Mix]/Ron Basejam Mix
83,83,0.144,0.109,97.833,0.0355,0.892,0.00151,4.0,0.223,9,252320,-18.48,0.127,69TA1l42ALrlviGs4KI1Z4,1,8,Enya: Paint The Sky With Stars
84,84,0.431,0.12,96.657,0.0315,0.858,0.396,4.0,0.663,3,238067,-11.781,0.453,2aE4e4QFbLfHtT8OZDgWJH,1,40,Enya: Anywhere Is
85,85,0.319,0.106,157.614,0.0332,0.776,0.965,3.0,0.386,4,239600,-16.512,0.672,31TAub5WKWEsVTJcdksxq7,1,49,Enya: Caribbean Blue
86,86,0.0255,0.0912,66.269,0.0445,0.977,0.000225,5.0,0.163,7,212360,-27.41,0.129,3c9xinOHrEqF39omS0Czj1,1,39,Enya: Boadicea
87,87,0.553,0.0991,149.605,0.0554,0.0915,0.0306,4.0,0.755,11,258533,-10.978,0.604,6rDqebhEHRxuqV0F4oU6n7,0,29,Everything But The Girl: Before Today
88,88,0.617,0.0592,155.997,0.0399,0.0246,0.0104,4.0,0.552,9,365200,-9.846,0.857,4HMqKFm0A5x4LnRYfdH5zH,1,22,Everything But The Girl: Walking Wounded
89,89,0.966,0.168,111.99,0.0444,0.00358,0.874,4.0,0.617,6,181053,-4.433,0.504,73teGKXstkhbT7NKlamWG9,0,31,Flying Lotus: Parisian Goldfish
90,90,0.652,0.146,113.985,0.0475,0.00295,5.45e-06,4.0,0.777,11,244253,-6.551,0.895,5Af8WlcS5tmWYbWIjarsnh,0,0,Reel People: Upside (Pete Kuzma Remix)
91,91,0.342,0.0856,128.331,0.0338,0.833,0.6,3.0,0.537,4,255387,-9.785,0.158,5k7VKj1Xwy5DjO4B0PdAOb,1,57,Radiohead: Nude
92,92,0.977,0.0948,166.664,0.0579,0.00455,0.0197,4.0,0.343,2,242293,-4.993,0.721,4m0Vgr48VFaMYw0Sp1ozJu,1,55,Radiohead: Bodysnatchers
93,93,0.853,0.0934,94.457,0.0423,0.0489,0.346,4.0,0.6,1,237293,-7.584,0.848,6dsq7Nt5mIFzvm5kIYNORy,1,57,Radiohead: 15 Step
94,94,0.61,0.0909,152.999,0.0392,0.774,0.749,4.0,0.538,11,318187,-8.027,0.196,4Iyo50UoYhuuYORMLrGDci,0,58,Radiohead: Weird Fishes/Arpeggi
95,95,0.656,0.0679,104.282,0.0264,0.511,0.156,4.0,0.518,4,290213,-7.438,0.214,56Z7hbyMrndw1naxb6I5Oi,0,57,Radiohead: Reckoner
96,96,0.453,0.179,138.077,0.0304,0.314,0.691,4.0,0.488,4,253853,-11.562,0.133,5gz38AxRkD6Ywxd4fr2pLj,0,56,Radiohead: Street Spirit (Fade Out)
97,97,0.567,0.0672,124.007,0.051,0.382,2.39e-05,4.0,0.668,0,385533,-9.266,0.265,0mAqbVSYglafE8rLhpc8mq,1,2,The Matthew Herbert Big Band: The Story
98,98,0.793,0.0359,123.873,0.105,0.00248,0.913,4.0,0.696,8,220320,-5.757,0.803,5MxxiSy3laHpib9jff8SKl,0,15,Moby: Everyday It'S 1989
99,99,0.615,0.0677,167.95,0.0427,0.507,0.819,4.0,0.322,11,300187,-10.774,0.0364,4Y2W4zKa3q72ztbkA0r8Va,1,51,Boards Of Canada: Dayvan Cowboy
100,100,0.59,0.266,89.819,0.101,0.537,2.25e-05,4.0,0.663,8,373213,-10.132,0.851,7rLAPi81R7qlVqgXfykdEL,0,39,Parliament: Mothership Connection (Star Child)
101,101,0.877,0.0882,97.082,0.0616,0.28,1.46e-06,4.0,0.651,5,259560,-5.095,0.658,0FXA3CxQmpjgP1VS5STnJC,0,28,Björk: Alarm Call
102,102,0.75,0.0985,187.959,0.0388,0.316,0.00447,4.0,0.377,6,186440,-7.247,0.146,6WH380JPFPtxMVzePuKWhl,0,27,Björk: Immature
103,103,0.515,0.0643,152.141,0.0341,0.596,0.00839,4.0,0.531,0,352960,-10.098,0.26,5ySEtpFdc6EmTvcozjkb9p,0,29,Björk: All Neon Like
104,104,0.913,0.107,96.959,0.0858,0.0598,8e-06,4.0,0.438,0,316600,-4.458,0.344,080thMRVMSfE5fem7HBaoF,0,34,Björk: Bachelorette
105,105,0.382,0.11,81.542,0.0322,0.804,0.0,3.0,0.278,7,197973,-9.624,0.058,1TtmEexOoL27br2q8ifxBl,1,35,Björk: Unravel
106,106,0.506,0.099,96.383,0.172,0.278,0.723,1.0,0.423,2,359760,-12.286,0.145,4iYpucuIKWStnxAqX5bp5Q,1,28,Burial: Etched Headplate
107,107,0.134,0.234,58.416,0.0484,0.749,0.00185,4.0,0.292,11,305440,-17.21,0.179,1tuyf2jFaU9kFevnSiMzGh,1,33,Björk: Possibly Maybe
108,108,0.564,0.135,100.031,0.0297,0.00052,0.287,4.0,0.586,9,346467,-11.243,0.179,2FXjdR7wEPcD5u4Ylqfd5i,1,32,Björk: Isobel
109,109,0.136,0.0717,124.412,0.0595,0.631,0.0,3.0,0.474,3,217733,-14.114,0.223,0OMNQyneWmmZtTQpULYJcl,1,42,Björk: It'S Oh So Quiet
110,110,0.971,0.138,148.946,0.156,0.131,0.0453,4.0,0.535,1,253453,-5.313,0.0416,6k4bR9F6q9VXqbuo3zE9zu,1,20,Björk: Declare Independence
111,111,0.662,0.381,193.908,0.0686,0.141,0.115,4.0,0.58,2,215987,-11.419,0.421,0UbjNhrz6PIvsitQMoJSI8,1,15,Björk: Hope
112,112,0.133,0.702,94.14,0.038,0.822,0.000941,3.0,0.431,10,248720,-16.588,0.102,2bkfhd38IioSlPhoCaAO8a,0,13,Björk: Generous Palmstroke
113,113,0.511,0.165,147.879,0.0484,0.385,0.0377,4.0,0.536,5,405760,-11.019,0.212,1t9us2hggVqmnyWz7uG54y,1,29,Björk: Unison
114,114,0.368,0.0781,179.786,0.048,0.257,0.00697,4.0,0.563,7,312040,-11.623,0.488,0adu8vRjVtB8k6VCuKFDIw,0,25,Björk: Heirloom
115,115,0.271,0.094,166.984,0.0327,0.741,2.69e-06,3.0,0.174,10,160227,-11.0,0.163,6AvwIHTT1u6u4QDucYEgmZ,0,25,Björk: Sun In My Mouth
116,116,0.592,0.0845,120.008,0.0343,0.373,2.46e-05,4.0,0.564,9,279667,-8.367,0.264,6uo8VFsqMd3cStrB4CGUNA,0,27,Björk: Aurora
117,117,0.46,0.0816,131.984,0.0298,0.484,5.04e-06,4.0,0.513,1,314867,-8.201,0.144,0mc51xomEC6CZUZdB8xgQU,0,33,Björk: Pagan Poetry
118,118,0.278,0.64,102.566,0.0428,0.939,0.516,5.0,0.346,4,126133,-22.583,0.285,2DjBfhvS7yRM2l1sk0Jnti,0,26,Björk: Cover Me
119,119,0.835,0.324,104.459,0.0543,0.00132,0.00524,4.0,0.189,2,227867,-5.285,0.0486,1E1nK1UZTpVRusk1xOmrFZ,1,18,Oasis: The Nature Of Reality
120,120,0.962,0.317,130.953,0.0668,0.00116,0.153,4.0,0.442,6,269133,-3.263,0.187,6goHgveCobRWukC2dM4xcE,0,30,Oasis: Falling Down
121,121,0.837,0.605,78.054,0.0292,0.0298,0.442,4.0,0.463,0,246787,-5.207,0.467,10ZZVhHfdXjneWQuyumDtv,1,21,Oasis: (Get Off Your) High Horse Lady
122,122,0.894,0.596,90.913,0.0379,0.000381,0.0274,4.0,0.419,7,280413,-2.677,0.32,741BEBpKeaInQNUrbl3FCx,1,24,Oasis: Bag It Up
123,123,0.837,0.176,169.736,0.0494,0.00798,0.0017,4.0,0.409,0,182987,-3.676,0.313,0GuH8HrnVmElccJdyyV4lN,1,22,Oasis: Waiting For The Rapture
124,124,0.048,0.105,140.519,0.043,0.913,0.958,4.0,0.141,10,506267,-31.382,0.0315,6IBbvwR5G7bhGfhtBqPUDZ,0,31,Boards Of Canada: Farewell Fire
125,125,0.238,0.345,152.374,0.0456,0.894,0.898,4.0,0.22,5,102053,-25.967,0.366,6InkUffjcAOYPiX4BEAjrU,1,34,Boards Of Canada: Constants Are Changing
126,126,0.699,0.093,89.808,0.0351,0.141,0.876,4.0,0.661,8,308760,-9.909,0.333,3USwZDyAeJjCjeUMqnvHAg,0,34,Boards Of Canada: Oscar See Through Red Eye
127,127,0.0986,0.141,72.137,0.0377,0.83,0.986,4.0,0.184,7,51720,-32.477,0.0371,6OzOsP5Ftn3osfuCvSxnYr,0,34,Boards Of Canada: A Moment Of Clarity
128,128,0.477,0.0788,171.424,0.058,0.165,0.922,4.0,0.641,2,324907,-13.083,0.455,2HHAxkrJbuWZ7JWdxYbsWO,1,46,Boards Of Canada: Peacock Tail
129,129,0.311,0.148,70.078,0.0356,0.639,0.298,3.0,0.383,5,40413,-12.778,0.0442,1FsNmlOSybsWUcRhfebqtH,0,15,Jazzanova: Fade Out
130,130,0.884,0.214,129.961,0.0406,0.0445,0.819,4.0,0.562,11,219093,-6.834,0.584,0346MreOORexLspFj7Te09,0,28,Digitalism: Echoes
131,131,0.723,0.0863,102.833,0.0312,0.00405,0.501,4.0,0.558,0,454480,-11.214,0.524,0qG1teoBvooRo7Z5Z8edCk,0,54,Sébastien Tellier: La Ritournelle
132,132,0.557,0.0359,126.533,0.0289,0.175,7.65e-05,4.0,0.612,9,297307,-5.757,0.233,4hf0hL4kWyjWztZzVsM39V,1,60,Coldplay: God Put A Smile Upon Your Face
133,133,0.587,0.298,144.642,0.0278,0.0565,5.16e-06,4.0,0.425,9,226680,-5.453,0.198,2nvC4i2aMo4CzRjRflysah,1,65,Coldplay: In My Place
134,134,0.688,0.358,93.896,0.0281,0.0503,0.891,4.0,0.399,2,215107,-7.606,0.172,5adhEDClSxrdjTDVC6mwi7,0,12,Moby: Hyenas
135,135,0.0811,0.0962,130.679,0.0336,0.988,0.867,4.0,0.372,3,148653,-19.582,0.0794,6pIjcEoJ034ijxX8m68pvh,0,8,Underworld: Good Morning Cockerel
136,136,0.84,0.112,115.812,0.0894,0.507,0.883,4.0,0.811,4,170413,-9.653,0.447,6hCoEG4x5aEdsjnXF2zZNZ,0,5,Acustic: 2
137,137,0.383,0.555,93.951,0.277,0.0258,0.323,4.0,0.499,11,170520,-11.925,0.501,7eiOQDfpNENqy4B56NjcM8,0,15,Afta-1: Stellar Suzie
138,138,0.793,0.112,149.833,0.18,0.0516,0.00327,4.0,0.49,9,328573,-10.363,0.438,5bnX0zhTVV1H5gNVjVhgaL,0,32,Björk: Hidden Place
139,139,0.0251,0.176,98.381,0.0402,0.913,0.0,3.0,0.577,2,83827,-19.708,0.541,3J4XoCvQiANigDkghQ15Eu,1,18,Björk: Show Me Forgiveness
140,140,0.672,0.0458,111.154,0.0602,0.104,0.856,4.0,0.581,8,941360,-8.279,0.806,4Ce66JznW8QbeyTdSzdGwR,1,50,Herbie Hancock: Chameleon
141,141,0.995,0.37,135.033,0.221,0.000798,0.166,4.0,0.45,7,328052,-1.158,0.214,3Bjx94921MJ0DvjQQ9KVpK,1,34,The Chemical Brothers: Setting Sun
142,142,0.852,0.114,135.223,0.153,0.428,0.656,4.0,0.624,1,238427,-10.184,0.517,28hwfx6WVMQoOCHMvD2IMJ,1,41,Burial: Archangel
143,143,0.677,0.226,172.192,0.0327,0.00786,7.15e-05,4.0,0.462,6,234333,-9.262,0.499,3vEmpJQC2p8h0U3OiBufQm,1,46,Björk: Army Of Me
144,144,0.642,0.109,160.078,0.0825,0.145,0.124,4.0,0.307,0,253200,-10.395,0.188,3UHuJt2WkLxGdbxn36T9vc,0,34,Björk: Hunter
145,145,0.0259,0.0969,157.811,0.0458,0.996,0.871,4.0,0.558,8,125520,-30.016,0.368,2MZSXhq4XDJWu6coGoXX1V,1,66,Aphex Twin: Avril 14Th
146,146,0.627,0.236,87.505,0.0574,0.581,0.105,4.0,0.72,7,266533,-8.934,0.431,70Dpcnw5cGQQO6BcA7Mx3o,0,8,Everything But The Girl: Mirrorball (Dj Jazzy Jeff Sole Full Remix)
147,147,0.33,0.116,75.989,0.183,0.521,0.901,4.0,0.521,5,333160,-18.68,0.144,4rBeSt9w8NN8CnnjO9hvGk,1,0,Opto: 10.45
